"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YKL151C"	-0.031	0.198	0.507	0.832	0.975	2.799	2.188
"YIL107C"	-0.144	-0.044	-0.16	0.655	1.104	1.919	2.179
"YBR132C"	-1.497	-1.813	0.572	0.327	0.232	1.694	2.174
"YOR049C"	-0.427	-0.535	0.56	0.473	1.069	2.503	2.173
"YKR058W"	0.053	0.104	0.262	0.594	0.897	2.586	2.171
"YKL103C"	-0.011	0.258	0.488	1.226	2.079	2.798	2.171
"YNL274C"	0.074	-0.085	0.423	0.952	1.273	3.329	2.167
"YOR289W"	-0.106	0.006	0.625	0.716	0.732	2.399	2.164
"YNL173C"	-0.008	-0.069	0.014	1.101	1.159	2.913	2.154
"YGR146C"	0.08	0.187	-0.241	-0.66	-0.359	1.729	2.15
"YPL123C"	-0.25	-0.071	0.369	0.936	1.927	2.486	2.147
"YJR073C"	-0.063	0.101	0.643	1.207	1.723	2.306	2.145
"YML090W"	-0.001	-0.072	-0.448	0.021	0.868	0.879	2.137
"YOR391C"	-0.618	-0.616	-0.13	-0.494	0	1.71	2.135
"YNL037C"	0.027	0.318	-0.03	0.488	0.511	1.741	2.127
"YLR080W"	-0.552	-0.72	-0.113	0.427	0.052	2.976	2.123
"YPL186C"	-0.002	-0.203	0.267	0.295	0.497	1.967	2.117
"YDR070C"	0.096	0.265	-0.025	0.224	0.511	2.494	2.108
"YLR395C"	0.133	0.124	0.371	0.537	1.181	1.447	2.095
"YIL087C"	-0.26	-0.161	0.158	0.636	0.815	2.13	2.095
"YKR046C"	0.114	0.377	0.215	0.328	0.482	0.669	2.092
"YLR168C"	-0.007	-0.418	0.255	0.348	0.447	1.795	2.09
"YMR322C"	-0.747	-1.334	-0.994	-0.137	-0.417	1.883	2.087
"YLR164W"	-0.299	0.643	-0.377	0.225	0.102	2.262	2.066
"YOR273C"	-0.012	0.102	0.456	1.099	0.961	1.925	2.066
"YGR201C"	-0.069	-0.43	0.745	0.41	0.348	2.296	2.061
"YLR259C"	0.344	0.299	-0.43	0.374	0.469	1.208	2.059
"YDR216W"	0.03	0.055	-0.265	0.108	0.181	1.289	2.058
"YDR096W"	-0.283	-0.373	-0.126	0.329	0.106	1.318	2.056
"YPR156C"	0.074	0.535	1.603	1.461	1.58	0.933	2.044
"YDR077W"	0.346	0.715	0.433	1.239	1.738	2.377	2.043
"YMR181C"	0.031	0.027	0.597	0.792	0.648	1.799	2.042
"YDL022W"	0.272	0.177	0.118	1.19	1.269	2.133	2.037
"YIR038C"	0.185	0.3	0.777	0.939	0.98	2.245	2.037
"YBR001C"	0.129	-0.02	0.426	0.88	-0.402	1.31	2.034
"YMR118C"	-0.089	0.06	-0.221	-0.165	-0.158	1.266	2.03
"YOR220W"	0.104	0.104	0.512	0.693	0.772	2.358	2.028
"YDR342C"	0.24	0.55	0.878	1.722	1.932	2.382	2.023
"YHL024W"	-0.172	-0.095	0.39	0.347	0.696	1.485	2.02
"YDL023C"	0.228	0.342	-0.148	1.095	1.231	1.797	2.019
"YJL155C"	-0.466	0.029	0.452	0.502	1.421	1.795	2.013
"YGL153W"	-0.139	-0.482	0.239	0.197	-0.043	1.369	2.007
"YDL169C"	-0.804	-0.896	-0.345	-0.198	0.031	2.039	2.004
"YKR016W"	0.106	0.12	0.466	0.734	1.15	2.199	1.997
"YDR277C"	-0.28	0.103	0.423	0.359	1.209	2.179	1.992
"YBR241C"	-0.738	-0.18	0.387	0.371	0.181	3.148	1.985
"YBR230C"	-0.137	-0.174	0.269	0.478	0.939	1.039	1.984
"YIL057C"	-0.341	-0.349	-0.06	-0.088	-0.397	0.554	1.982
"YFR017C"	-0.65	-0.455	-0.494	-0.051	0.455	1.331	1.98
"YLR217W"	0.287	0.231	-0.289	0.109	0.27	2.22	1.979
"YPR026W"	-0.005	0.056	0.029	0.404	0.537	0.742	1.976
"YBR101C"	0.158	0.119	0.098	0.201	0.398	1.705	1.965
"YDR231C"	-0.179	-0.208	-0.049	0.457	0.929	2.102	1.959
"YHL032C"	-0.101	-0.186	0.137	0.09	0.235	1.408	1.95
"YOL083W"	0.045	0.039	0.442	0.533	1.407	1.463	1.949
"YPL165C"	-0.208	0.026	0.43	0.416	0.529	1.678	1.949
"YLR270W"	0.157	0.05	0.134	0.944	1.194	3.312	1.948
"YOR386W"	-0.762	0	1.171	0.442	0.371	2.634	1.947
"YCR062W"	-0.116	1.72	0.361	0.082	0.257	0.412	1.946
"YDR043C"	-0.134	0.07	-0.073	0.238	-0.23	2.873	1.944
"YBR054W"	0.254	0.274	1.015	1.422	1.369	1.947	1.943
"YAL017W"	-0.059	0.047	-0.301	0.551	0.734	0.895	1.942
"YCL035C"	0.1	0.401	0.473	0.92	0.723	2.719	1.938
"YPR002W"	-0.176	-0.102	-0.349	0.03	-0.594	0.126	1.933
"YPL154C"	0.288	0.683	1.189	1.485	1.817	2.1	1.931
"YDL218W"	-0.236	0.208	-0.131	-0.39	-0.162	1.627	1.931
"YOR027W"	0.266	0.098	-0.427	-0.27	0.045	1.317	1.923
"YPL109C"	-0.354	-0.334	0.551	0.427	-0.815	1.603	1.919
"YDR125C"	-0.268	0.075	-0.024	0.043	0.683	1.278	1.918
"YJL185C"	-0.058	0.216	0.111	0.357	0.317	0.875	1.918
"YBR183W"	-0.356	-0.409	0.395	1.289	1.259	3.01	1.914
"YIL169C"	0.358	0.341	0.208	0.497	0.999	1.005	1.91
"YPL201C"	-0.446	0.101	0.727	-0.069	-0.377	1.291	1.909
"YML091C"	-0.043	-0.223	-0.74	0.069	0.648	1.136	1.908
"NORF 7"	0.009	0.013	-0.2	0.629	1.576	1.802	1.906
"YBR222C"	0.277	0.346	0.383	0.286	0.611	1.062	1.898
"YDR272W"	0.091	0.311	0.445	0.742	0.826	2.7	1.89
"YJL102W"	-0.32	-0.45	-0.005	0.483	0.889	1.817	1.886
"YMR196W"	-0.127	0.046	-0.087	1.035	1.125	2.005	1.884
"YOR177C"	-0.766	-1.518	0.555	0.401	-0.03	1.738	1.883
"YDR148C"	-0.569	-0.034	0.301	-0.049	0.153	2.154	1.878
"YBR214W"	-0.034	0.231	0.409	0.709	0.484	2.219	1.877
"YPL017C"	0.022	0.025	-0.253	-0.519	-0.441	-0.745	1.874
