"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YGR111W"	-0.105	-0.266	0.326	0.769	0.655	1.725	0.785
"YDR337W"	-0.023	0.007	0.564	0.427	0.766	1.541	0.785
"YGR153W"	-0.253	-0.706	-0.081	-0.072	-0.505	0.523	0.784
"YHR113W"	-0.056	0.073	0.612	0.543	0.55	0.748	0.784
"YLR284C"	-0.527	-0.655	-0.384	0.136	-0.17	1.508	0.783
"YMR119W"	0.028	0.353	0.501	0.683	1.017	0.275	0.783
"YNR019W"	-0.37	-0.491	-0.465	-0.612	-0.146	1.039	0.783
"YGR266W"	0.179	-0.06	0.134	0.125	0.299	0.389	0.783
"YIL050W"	0.384	0.192	-0.102	0.015	-0.067	0.605	0.783
"YNR064C"	-0.251	-0.317	-0.301	-0.296	-0.393	-0.173	0.783
"YJR119C"	-0.034	-0.103	0.012	0.215	0.067	1.178	0.782
"YNL252C"	-0.206	0.321	0.418	0.455	0.351	1.589	0.782
"YOR020C"	0.169	0.105	-0.016	0.538	0.86	1.42	0.78
"YBR062C"	-0.364	-1.033	-0.127	-0.018	-0.29	1.508	0.779
"YAR050W"	0.075	0.188	0.064	0.249	0.183	-0.288	0.778
"YJR044C"	0.196	0.264	0.508	0.676	0.986	0.673	0.778
"YKL023W"	-0.031	-0.115	0.18	0.109	0.209	1.331	0.778
"YNL330C"	0.215	0.326	0.517	0.302	0.602	0.781	0.777
"YKL168C"	-0.276	-0.036	0.335	0.373	0.966	0.922	0.776
"YER094C"	0.202	0.088	0.387	0.171	-0.172	0.694	0.775
"YKL137W"	0.216	0.256	0.173	0.358	0.484	1.141	0.775
"YBR027C"	0.093	0.134	-0.057	0.086	-0.472	-0.252	0.774
"YGL175C"	-0.649	-0.493	-0.045	-0.235	-0.195	0.519	0.773
"YER085C"	-0.29	-0.256	-0.07	-0.087	-0.504	0.706	0.773
"YPL013C"	-0.242	-0.032	0.108	0.142	0.482	1.213	0.772
"YML041C"	-0.082	-0.004	-0.136	0.106	-0.383	0.809	0.772
"YBL094C"	-0.056	0.117	-0.44	-0.018	-0.413	1.156	0.771
"YDR517W"	-0.278	0.191	-0.085	0.307	0.106	0.376	0.771
"YGL129C"	0.157	0	0.08	0.029	-0.113	1.064	0.769
"YEL021W"	0.057	0.123	0.426	0.319	1.058	1.444	0.767
"YHR032W"	-0.567	0.956	0.926	0.167	0.233	0.745	0.766
"YMR192W"	-0.143	0.22	0.341	-0.098	0.159	0.105	0.766
"YOR075W"	0.042	0.169	0.233	-0.098	-0.078	0.945	0.766
"YOR343C"	-0.219	-0.252	-0.269	-0.675	-0.359	-0.133	0.765
"YHR185C"	-0.748	-0.274	0.223	-0.301	-0.554	0.805	0.765
"YPR012W"	-0.16	-0.042	-0.11	-0.116	-0.145	-0.353	0.765
"YCR006C"	-0.424	-0.323	-0.263	-0.2	-0.18	0.463	0.765
"YIL147C"	0.296	0.343	0.291	0.197	0.103	-0.087	0.764
"YDR112W"	-0.103	-0.235	-0.106	-0.086	-0.301	0.467	0.763
"YMR204C"	0.008	-0.338	0.316	-0.06	0.318	0.385	0.763
"YDR027C"	-0.009	0.079	-0.081	0.402	0.116	0.735	0.762
"YEL066W"	-0.002	0.077	0.141	0.184	0.533	0.815	0.762
"YGL194C"	-0.578	-0.738	-0.111	0.01	-1.081	0.936	0.762
"YIL067C"	-0.169	-0.376	-0.028	-0.161	-0.426	-0.109	0.762
"YMR187C"	-0.041	0.053	0.419	0.014	-0.171	0.947	0.762
"YGL190C"	-0.102	-0.144	-0.181	0.121	-0.467	1.296	0.761
"YIL121W"	0.159	0.274	0.626	0.8	0.801	0.895	0.761
"YDR493W"	-0.267	0.018	-0.011	0	0.548	1.039	0.76
"YNR034W"	-0.08	-0.279	-0.516	-0.167	-0.226	1.605	0.76
"YGL108C"	-0.047	0.28	0.088	0.317	0.218	0.98	0.758
"YGL090W"	-0.348	-0.84	0.097	-0.044	-0.391	0.703	0.758
"YNL239W"	0.174	0.126	0.199	-0.094	-0.017	0.224	0.758
"YIR043C"	0.276	0.133	0.693	1.016	0.959	1.021	0.757
"YDL190C"	0.188	0.245	0.448	0.646	0.61	0.747	0.757
"YCR038C"	-0.262	-0.224	-0.16	-0.34	-0.467	0.799	0.757
"YDL011C"	-0.013	0.086	0.093	0.245	-0.131	0.069	0.756
"YEL004W"	-0.172	-0.171	0.727	0.419	-0.151	1.022	0.756
"YHR102W"	-0.07	0.116	0.582	0.078	-0.582	0.594	0.755
"YGR016W"	-0.015	-0.122	0.266	0.284	-0.229	0.55	0.755
"YJR125C"	-0.088	-0.03	-0.311	0.361	0.549	1.452	0.755
"YJR083C"	-0.067	0.034	0.332	0.207	-0.125	1.503	0.755
"YDL089W"	-0.198	-0.273	-0.566	-0.332	-0.134	0.587	0.754
"YIL120W"	-0.404	0.614	0.812	0.217	0.248	1.111	0.754
"YAL048C"	0.095	0.24	-0.439	-0.227	-0.337	0.146	0.754
"YLR260W"	-0.065	-0.389	-0.091	0.1	-0.098	1.394	0.754
"YDR315C"	-0.008	0.147	0.586	0.44	0.12	0.724	0.754
"YDR017C"	-0.066	0.019	-0.25	-0.465	-0.302	-0.382	0.753
"YPL277C"	0.082	0.105	-0.182	0.101	-0.261	0.389	0.753
"YDR260C"	-0.223	-0.332	-0.07	0.017	-0.269	0.111	0.752
"YHR211W"	-0.109	-0.014	-0.252	-0.243	-0.008	-0.339	0.752
"YEL076C"	0.082	0.257	0.183	0.172	-0.02	0.068	0.752
"YDR015C"	-0.42	-0.3	-0.266	-0.262	0.268	0.552	0.751
"YEL005C"	-0.157	-0.009	0.276	0.129	-0.042	0.984	0.75
"YFR007W"	-0.255	-0.036	0.002	0.17	0.131	0.856	0.75
"YNL294C"	0.088	0.112	0.182	0.476	0.013	0.408	0.75
"YCR105W"	-1.22	-0.809	0.229	0.79	-0.127	0.92	0.749
"YIL059C"	-0.035	-0.324	-0.192	-0.293	-0.366	0.209	0.748
"YBR141C"	0.168	0.295	0.609	-0.068	-0.31	-0.032	0.748
"YLR157C"	0.135	0.11	0.556	0.383	0.521	0.676	0.748
"YDR394W"	-0.078	0.147	0.051	0.18	-0.121	0.454	0.748
"YML113W"	-0.178	-0.176	0.427	-0.062	-0.011	0.44	0.748
"YJL003W"	-0.151	-0.309	0.011	-0.041	0.195	0.408	0.748
"YCL074W"	-1.924	-0.969	0.01	-0.509	0	0.833	0.747
"YOR223W"	-0.373	-0.299	0.195	-0.267	-0.576	0.558	0.747
"YLR408C"	-0.081	-0.235	-0.101	0.175	0.322	1.114	0.747
"YPL027W"	-0.504	-0.521	-0.392	-0.376	0.11	-0.161	0.746
"YMR018W"	-0.482	-1.189	0.267	0.266	0.569	1.739	0.746
"YER050C"	0.232	0.184	0.602	0.465	-0.189	1.305	0.746
"YDR506C"	-0.59	-0.169	-0.099	0.153	0.422	0.57	0.746
"YBR145W"	0.413	0.356	0.891	0.593	0.623	0.725	0.746
"YMR154C"	-0.151	0.262	0.137	-0.309	-1.065	0.657	0.745
"YJR108W"	-0.49	-0.138	-0.259	-0.2	-0.286	0.984	0.745
"YHR034C"	-0.109	-0.07	0.36	-0.03	-0.505	0.576	0.744
"GENOMIC 0.25X"	0.124	0.435	-0.053	0.29	0.118	0.016	0.744
"YGR023W"	-0.07	-0.051	0.323	0.352	-0.044	0.473	0.744
"YML121W"	0.271	0.184	0.554	0.28	0.025	0.948	0.743
"YFR016C"	-0.337	-0.249	0.243	0.026	0.511	1.121	0.743
"YOR030W"	-0.18	-0.101	-0.318	0.006	-0.2	0.444	0.742
"YDR073W"	0.119	0.273	0.264	0.329	-0.031	1.265	0.742
"YNL128W"	-0.338	0.078	0.066	0.203	0.462	0.603	0.741
"YKR037C"	-0.257	-0.536	-0.35	-0.121	0.109	0.172	0.74
"YER048C"	0.304	0.436	0.431	0.314	-0.209	1.323	0.74
"YIR003W"	-0.662	-0.303	0.272	-0.049	0.37	1.239	0.74
"YBR065C"	-0.36	-0.343	0.503	-0.011	-0.066	0.787	0.739
"YNL284C"	-0.011	0.302	0.087	0.342	0.729	0.863	0.739
"YLR207W"	0.074	0.015	-0.021	0.008	0.397	0.537	0.739
"YMR258C"	0.137	0.256	0.391	0.4	0.868	0.763	0.739
"YAR061W"	-0.632	-0.332	-0.341	-0.063	-0.445	0.009	0.738
"YLL015W"	0.061	0.192	-0.124	0.182	0.145	-0.139	0.737
"YKR007W"	-0.126	-0.266	-0.405	0.09	0.164	0.916	0.735
"YOR022C"	-0.276	-0.254	-0.066	0.066	-0.083	0.71	0.735
"YBR036C"	-0.193	0.014	0.763	0.501	0.443	0.779	0.734
"YLR012C"	-0.395	-0.671	-0.428	-0.175	-0.256	0.407	0.734
"YDL246C"	-0.43	0.552	-0.182	-0.334	-0.229	0.985	0.734
"YOL150C"	-0.037	-0.234	-0.237	0.061	0.14	1.071	0.734
"YMR134W"	-0.066	0.211	-0.116	0.172	0.589	0.324	0.734
"YKL175W"	0.176	0.381	0.702	0.304	0.285	0.164	0.733
"NORF 92"	-0.197	-0.275	-0.467	-0.338	-0.237	0.074	0.733
"YER021W"	0.474	0.206	-0.06	0.131	0.194	1.007	0.732
"YMR317W"	0.048	0.131	0.006	0.307	0.438	0.231	0.732
"YKL012W"	0.215	0.237	0.183	0.243	0.319	0.789	0.732
"YNL116W"	0.085	0.076	0.071	-0.334	-0.004	0.265	0.731
"YJL025W"	0.026	0.082	-0.213	-0.27	-0.239	-0.197	0.731
"YLR120C"	-0.171	0.055	0.953	0.45	0.16	1.38	0.731
"YPL193W"	-0.011	0.095	0.306	-0.285	-0.051	-0.264	0.73
"YIL093C"	-0.212	0.033	0.134	0.315	0.126	0.941	0.729
"YMR171C"	0.089	0.089	-0.387	-0.001	-0.066	0.533	0.729
"YCL051W"	-0.157	-0.647	0.266	0.162	-0.847	0.636	0.729
"YGR212W"	0.021	-0.257	0.242	0.067	-0.246	0.622	0.728
"YDL107W"	-0.098	0.666	0.064	-0.003	0.148	0.956	0.727
"YIL155C"	-0.376	-0.017	-0.245	-0.185	-0.468	0.036	0.727
"YJL055W"	0.111	0.135	0.49	0.491	0.805	1.443	0.727
"YFL058W"	-0.822	-1.109	-0.239	-0.392	-0.93	0.676	0.727
"YMR156C"	-0.064	-0.065	0.035	0.067	-0.029	0.701	0.726
"YMR264W"	0.016	0.25	0.484	0.24	0.425	0.91	0.725
"YGR141W"	-0.319	-0.542	-0.014	0.049	0.24	0.47	0.725
"YGR253C"	0.207	0.22	0.239	0.031	0.238	1.36	0.725
"YDR168W"	0.007	0.137	0.288	0.413	0.461	1.151	0.724
"YDR160W"	-0.538	-0.364	0.147	-0.131	-0.465	0.763	0.723
"YER133W"	0.236	0.215	0.252	0.411	0.914	1.029	0.723
"YDR204W"	-0.622	-0.511	0.02	-0.088	0.096	0.907	0.723
"YFL041W"	0.395	0.395	0.569	0.069	-0.279	0.494	0.722
"YOL114C"	-0.329	-0.429	-0.077	-0.079	0.025	0.646	0.722
"YEL052W"	0.032	0.003	0.4	0.018	0.028	0.828	0.722
"YKL124W"	-0.539	0.01	0.214	-0.189	0.49	0.85	0.722
"YDR186C"	0.049	0.136	0.044	-0.159	-0.26	0.808	0.722
"YLR014C"	-0.059	-0.258	-0.076	-0.412	-0.626	-0.433	0.722
"YLR261C"	-0.027	0.194	-0.051	0.013	0.146	0.616	0.721
"YGL049C"	0.032	-0.139	0.13	0.258	0.146	0.012	0.721
"YGR246C"	-0.042	0.024	0.373	0.113	0.466	0.744	0.72
"YHR146W"	0.022	0.513	0.521	0.304	0.234	0.907	0.72
"YHR014W"	-0.4	-0.369	0.466	-0.042	0.043	0.873	0.72
"YLR102C"	-0.005	-0.068	-0.162	0.213	-0.046	0.868	0.72
"YCR014C"	0.117	-0.162	0.371	0.154	-0.683	0.609	0.719
"YGL007W"	-0.075	-0.178	-0.206	-0.433	0.201	0.788	0.719
"YNL072W"	-0.237	-0.348	-0.385	-0.113	-0.021	0.546	0.718
"YKR091W"	-0.006	0.053	0.063	-0.096	0.122	1.068	0.718
"YKL052C"	-0.229	-0.113	-0.381	-0.239	-0.038	0.514	0.717
"YOL044W"	-0.1	-0.096	-0.24	-0.219	0.014	0.729	0.716
"YBR179C"	-0.17	-0.375	-0.34	0.047	0.083	0.199	0.716
"YPL177C"	-0.016	-0.243	-0.588	-0.508	0.085	0.39	0.716
"YOR255W"	-0.506	-0.114	0.635	-0.315	-0.044	0.629	0.716
"YOL074C"	-0.026	-0.318	-0.166	0.16	-0.122	0.068	0.716
"YOR205C"	-0.089	0.18	0.688	-0.075	0.21	0.725	0.716
"YOR180C"	-0.067	-0.064	0.415	0.153	-0.025	0.625	0.716
"YGL010W"	-0.018	0.109	0.065	0.13	-0.299	0.756	0.716
"YBR105C"	0.069	0.565	0.244	-0.407	0.037	1.117	0.715
"YHL025W"	-0.324	-0.785	0.269	-0.054	-0.393	0.668	0.715
"YOR053W"	0.015	0.039	-0.278	-0.179	-0.042	0.652	0.714
"YFR003C"	0.038	0.752	-0.038	0.187	0.47	1.566	0.713
"YER186C"	0.192	0.529	0.115	0.088	0.21	-0.015	0.713
"YMR253C"	-0.078	-0.266	0.287	0.079	0.402	0.637	0.713
"YGR077C"	-0.147	0.015	0.457	0.206	0.432	0.985	0.711
"YFL040W"	-0.921	-1.438	0.079	-0.336	-0.402	0.643	0.71
"YER181C"	-0.609	-0.768	0.022	-0.095	-0.342	0.738	0.71
"YAL065C"	-0.074	-0.662	0.108	0.131	-0.085	0.249	0.71
"YPL071C"	-0.015	0.431	0.075	0.192	0.34	0.929	0.71
"YDR283C"	-0.08	0.203	-0.113	0.184	0.083	0.194	0.71
"YER179W"	-0.733	-1.322	0.086	0.053	0.067	0.974	0.71
"YGR226C"	-0.442	-0.454	-0.04	0.137	-1.194	0.807	0.71
"YOR017W"	-0.256	0.023	0.123	-0.224	0.241	0.451	0.71
"YJL206C"	-0.101	0.041	0.139	0.102	0.569	0.591	0.709
"YOR077W"	-0.108	-0.562	-0.074	-0.258	-0.464	0.056	0.709
"YPR078C"	-0.232	-0.185	-0.298	-0.264	0.174	0.155	0.708
"YOR307C"	0.152	0.15	0.628	0.286	0.67	0.751	0.707
"YKR063C"	-0.133	0.104	0.171	0.077	0.152	-0.431	0.706
"YML050W"	-0.152	0.057	0.324	0.083	-1.009	1.177	0.706
"YOR121C"	-0.265	-0.221	-0.116	-0.177	-0.083	1.402	0.706
"YKR020W"	-0.046	0.004	0.255	0.374	0.792	1.224	0.706
"YBR177C"	-0.045	-0.07	0.06	0.27	0.606	1.361	0.705
"YJL106W"	-0.37	-0.38	-0.073	-0.567	-0.867	0.947	0.705
"YBL109W"	-0.044	0.764	0.061	0.128	-0.184	-0.378	0.705
"YHR177W"	-0.357	-0.186	0.539	0.171	-0.01	0.713	0.705
"YPL221W"	0.551	1.038	1.874	0.142	-0.155	-1.534	0.704
"YOR091W"	0.171	0.175	0.251	-0.87	-0.493	-1.066	0.704
"YNR005C"	-0.081	-0.177	-0.341	-0.391	-0.047	0.126	0.704
"YOR015W"	-0.14	-0.107	-0.326	-0.418	-0.007	-0.295	0.703
"YDR107C"	-0.029	0.25	0.875	0.726	0.946	0.667	0.703
"NORF 24"	-0.116	0.081	-0.186	-0.081	0.433	0.894	0.703
"YKL123W"	-0.053	-0.133	-0.231	-0.135	0.052	0.446	0.703
"YDL180W"	-0.172	0.105	-0.219	-0.044	-0.001	-0.184	0.703
"YOL073C"	-0.052	0.004	0.107	0.114	0.263	0.958	0.701
"YCR102C"	-0.532	-0.742	-0.6	-0.544	-0.703	0.604	0.701
"YAL047C"	-0.156	-0.245	-0.049	-0.554	-0.041	-0.059	0.7
"YBR178W"	-0.098	0.034	0.019	0.116	-0.036	0.496	0.699
"YBL017C"	0.157	0.623	-0.143	0.199	0.025	-0.024	0.699
"YGR205W"	-0.268	-0.438	-0.551	-0.05	0.226	1.168	0.698
"YAR003W"	0.038	-0.033	0.236	-0.054	0.186	0.419	0.698
"YKL186C"	0.05	0.069	-0.088	0.072	-0.034	0.935	0.698
"YPR093C"	-0.091	-0.157	0.132	0.006	0.082	0.471	0.698
"YOR388C"	-0.469	-1.364	0.575	-0.082	-0.114	1.234	0.697
"YDL183C"	-0.162	-0.245	-0.021	-0.366	-0.276	0.74	0.697
"YEL037C"	-0.893	-0.291	0.317	-0.24	-0.831	1.092	0.696
"YAL063C"	0.044	0	0.04	0.058	-0.065	-0.404	0.696
"YPR076W"	0.298	0.818	0.136	0.526	0.133	0.255	0.696
"YFL044C"	-0.325	-0.848	0.143	-0.196	-0.451	1	0.696
"YGL215W"	-0.011	-0.112	-0.221	-0.943	-0.493	-0.582	0.696
"YJR099W"	0.088	-0.063	0.35	0.367	0.719	1.121	0.696
"YIR032C"	0.046	-0.688	0.339	0.264	0.037	1.195	0.695
"YHR189W"	-0.358	-0.177	-0.291	-0.174	-0.226	0.013	0.695
"YGL217C"	-0.324	-0.403	-0.028	0.019	0.435	0.402	0.695
"YJL116C"	-0.368	-0.614	-0.078	0.052	0.163	0.471	0.695
"YGR168C"	-0.216	0.045	0.363	0.236	0.386	0.821	0.695
"YNL074C"	0.151	-0.038	-0.014	-0.037	0.035	0.507	0.694
"YAL064W"	-0.451	-0.145	-0.21	-0.26	-0.058	-0.639	0.694
"YLR282C"	-0.036	0.092	0.117	0.393	-0.239	0.208	0.694
"YHR012W"	0.003	0.182	0.443	0.349	0.36	1.058	0.694
"YGL053W"	0.275	0.441	0.581	0.478	0.845	0.919	0.693
"YLR328W"	0.083	-0.114	-0.369	-0.566	-0.732	-0.369	0.693
"YHR020W"	1.959	0	0	0.669	1.023	-0.886	0.692
"YOR231W"	0.05	-0.007	0.219	-0.187	-0.161	0.561	0.692
"YHR013C"	-0.082	-0.282	0.157	0.021	0.229	0.114	0.692
"YDR503C"	0.113	-0.05	0.388	0.275	0.478	0.309	0.692
"YOR023C"	0.237	-0.1	-0.81	-1.133	-0.829	-0.101	0.692
"YEL064C"	-0.361	-0.066	0.452	0.266	-0.025	0.582	0.692
"YGR065C"	-0.202	-0.662	0.037	-0.183	-0.248	0.666	0.691
"YDR463W"	0.115	0.094	0.011	0.027	0.082	0.774	0.691
"YMR284W"	-0.084	0.033	-0.159	0.23	0.385	1.505	0.69
"YGL183C"	-0.41	-0.989	0.237	-0.176	-1.29	0.756	0.69
"YJL049W"	0.224	-0.256	0.152	0.205	-0.003	0.596	0.69
"YOL163W"	-0.422	-0.139	-0.186	-0.279	0.236	0.555	0.69
"YNL097C"	-0.605	-0.513	0.01	-0.129	-0.523	0.686	0.689
"YIL160C"	-1.818	-1.207	0.08	-0.632	-0.462	0.683	0.689
"YKL201C"	-0.171	-0.449	-0.561	-0.567	0.123	0.335	0.689
"YJR157W"	-0.412	-0.129	-0.497	-0.325	-1.339	0.35	0.688
"YDR008C"	0.061	0.127	0.141	0.287	0.372	0.793	0.687
"YBR033W"	0.193	0.157	0.196	-0.011	0.389	0.214	0.687
"YNL051W"	-0.177	-0.305	-0.173	0.105	0.172	1.087	0.687
"YGR186W"	0.251	0.128	0.1	-0.124	0.033	0.633	0.686
"YPL107W"	-0.243	-0.053	0.494	0.048	0.819	0.816	0.686
"YGL081W"	-0.154	-0.13	0.304	0.245	-0.007	0.473	0.686
"YDR350C"	-0.299	-0.123	0.094	0.106	-0.437	0.881	0.685
"YLR422W"	-0.144	0.066	-0.342	0.135	0.149	0.608	0.685
"YBR045C"	0.314	0.175	0.079	0.136	-0.037	-0.007	0.684
"YKR035C"	0.145	0.155	0.104	0.289	-0.006	1.273	0.684
"YDR532C"	-0.026	-0.184	0.071	0.19	0.138	0.556	0.684
"YOR387C"	-0.024	0.042	0.141	0.242	0.159	0.358	0.684
"YDR362C"	-0.262	-0.069	0.332	0.205	0.029	0.666	0.682
"YNL276C"	-0.168	0.052	-0.273	-0.012	-0.214	0.583	0.682
"YDR088C"	-1.157	-1.205	-0.106	-0.123	-0.47	0.688	0.682
"YFL003C"	-0.944	-0.829	0.104	-0.161	-0.176	0.942	0.682
"YDL097C"	0.051	-0.052	-0.066	-0.249	0.005	1.14	0.682
"YGL248W"	-0.132	-0.555	0.332	0.287	0.187	0.884	0.681
"YEL065W"	0.395	-0.433	-0.483	-1.146	-1.572	-0.104	0.681
"YFL063W"	0.095	0.445	0.214	0.084	-0.37	-0.174	0.681
"YJL219W"	0.032	0.029	-0.146	0.162	0.322	0.934	0.68
"YCR020C"	0.071	0.044	0.411	0.317	0.214	0.694	0.68
"YDR402C"	-1.025	-0.811	-0.195	-0.845	-1.406	0.737	0.68
"YLR155C"	-0.037	-0.109	0.42	0.261	0.487	0.599	0.679
"YLR343W"	-0.572	-0.338	0.568	0.509	1.466	1.15	0.678
"YBR057C"	-0.443	0.132	0.327	-0.163	0.016	0.839	0.678
"YBR150C"	-0.074	-0.144	-0.245	-0.037	0.098	0.168	0.678
"YOR038C"	0.219	0.171	0.098	0.142	0.093	0.167	0.678
"YGL152C"	-0.242	-1.085	0.157	-0.041	-0.082	1.332	0.678
"YDR349C"	0.172	0.077	0.531	-0.247	-0.089	-1.064	0.678
"YKL169C"	-0.211	-0.226	-0.066	0.361	0.55	1.094	0.677
"YFR048W"	0.076	0.273	0.054	-0.223	-0.632	0.626	0.677
"YJR148W"	0.115	0.154	-0.279	-0.14	-0.082	0.636	0.677
"YLR349W"	-0.386	0.028	-0.064	0.049	0.149	0.551	0.676
"YJR093C"	-0.262	-0.164	0.116	-0.261	-0.596	0.774	0.676
"YCR051W"	-0.579	-0.352	0.241	-0.423	-0.316	0.415	0.675
"YIR014W"	-0.362	-0.341	0.639	0.334	1.06	0.94	0.675
"YBR240C"	-0.267	1.653	-0.188	-0.031	0.071	0.319	0.675
"YNL040W"	-0.136	0.114	-0.016	0.178	0.416	0.972	0.674
"YDR307W"	0.142	0.012	0.714	0.441	0.211	0.249	0.674
"YDR029W"	0.024	0.292	0.297	0.31	0.052	0.44	0.673
"YGL181W"	-0.617	-0.26	0.227	-0.019	-1.072	0.661	0.673
"YLR445W"	-0.25	-0.288	-0.028	-0.435	0.047	0.112	0.673
"YOR256C"	0.052	0.201	-0.032	0.148	0.299	0.815	0.673
"YPL260W"	0.038	-0.07	-0.239	0.038	0.124	0.947	0.673
"YJR091C"	0.232	0.391	-0.289	-0.217	-0.176	0.482	0.672
"YMR278W"	-0.176	0.273	0.372	0.516	0.852	1.96	0.672
"YDR316W"	-0.493	-0.463	0.501	0.065	-0.672	2.283	0.672
"YOL107W"	0.02	0.084	0.594	0.387	0.564	0.693	0.672
"YJR109C"	0.355	0.188	-0.643	-0.734	-0.976	-0.844	0.672
"YHL045W"	-0.115	-0.08	-0.3	-0.225	-0.244	0.046	0.67
"YPR028W"	0.003	0.257	0.394	0.815	0.926	1.096	0.67
"YNR072W"	-0.421	-0.181	-0.369	-0.08	-0.098	0.935	0.669
"YHL036W"	-0.168	-0.203	0.491	-0.05	0.476	0.71	0.668
"YDR234W"	-0.169	-0.336	0.056	-0.671	-0.96	0.454	0.667
"YJL099W"	0.046	0.225	0.098	0.114	0.282	0.986	0.667
"YER001W"	-0.031	0.153	0.584	0.458	0.162	0.388	0.667
"YFL006W"	-0.017	0.2	-0.001	-0.442	-0.081	-0.744	0.667
"YPR202W"	0.052	0.006	-0.004	0.048	-0.073	-0.988	0.667
"YDR288W"	-0.323	-0.566	0.427	0.084	0.415	1.055	0.666
"YGR219W"	-0.019	0.108	-0.087	0.327	0.623	1.058	0.666
"YIL001W"	0.068	-0.189	0.209	0.017	-0.031	1.164	0.666
"YOR229W"	-0.271	0.091	0.621	-0.03	0.155	0.543	0.665
"YHR001W"	-0.159	-0.596	0.459	0.432	0.247	1.131	0.665
"YBR192W"	-0.015	0.186	-0.202	-0.006	-0.245	-0.061	0.665
"YLR323C"	-0.117	0.129	0.36	0.04	-0.33	0.827	0.665
"YML013W"	0.203	0.142	-0.137	-0.256	-0.28	0.931	0.665
"YDL113C"	-0.118	0.078	-0.141	0.034	0.168	0.399	0.662
"YML112W"	-0.449	-0.345	0.301	0.093	-0.375	0.765	0.662
"YHL008C"	-0.145	-0.166	-0.103	-0.573	-0.447	1.02	0.662
"YBL060W"	-0.256	-0.027	0.12	-0.023	-0.807	0.465	0.662
"YMR240C"	-0.087	-0.095	-0.195	0.066	0.094	0.435	0.661
"YLR375W"	-0.304	0.197	0.384	-0.051	0.655	0.618	0.661
"YDL010W"	-0.255	-0.268	-0.088	0.31	0.365	0.014	0.661
"POLY DA"	0.322	0.81	0.47	0.424	-0.807	0.048	0.661
"YGL048C"	0.315	0.247	0.175	0.238	0.279	1.047	0.661
"YCR075C"	-0.08	-0.06	0.28	0.299	0.718	0.702	0.661
"YNL251C"	0.125	-0.092	-0.335	-0.374	-0.428	-0.4	0.66
"YEL009C"	0.182	0.307	0.467	0.042	0.02	-0.391	0.66
"YJL176C"	0.121	-0.209	-0.155	-0.479	-0.497	0.694	0.66
"YMR124W"	-0.058	-0.042	-0.095	0.238	0.219	0.5	0.659
"YDR197W"	-0.169	-0.084	0.247	0.416	-0.678	0.941	0.659
"YER046W"	-0.123	0.63	-0.056	0.267	-0.386	1.167	0.659
"YDR201W"	-0.352	-0.219	-0.167	0.024	0.424	0.329	0.658
"YMR144W"	-0.019	-0.185	0.128	0.051	0.212	0.368	0.658
"YGL004C"	-0.417	-0.579	-0.124	0.119	0.081	1.408	0.658
"YMR296C"	0.047	0.016	0.126	-0.098	0.123	0.2	0.656
"YOL043C"	-0.285	-0.417	-0.169	0.002	0.067	0.561	0.656
"YMR163C"	-0.1	-0.163	-0.546	0.003	-0.135	0.164	0.656
"YOL152W"	-0.131	-0.403	-0.445	-0.579	-0.545	0.451	0.656
"YIL014W"	0.006	0.304	0.306	0.148	0.484	-0.122	0.656
"YNL133C"	-0.109	-0.412	-0.426	-0.036	0.205	0.754	0.655
"YJL004C"	0.023	0.384	0.63	0.441	0.518	0.633	0.655
"YOR366W"	-0.282	-0.726	-0.127	0.018	-0.09	0.807	0.655
"YFR039C"	-0.654	-0.407	0.373	0.242	0.26	1.044	0.655
"YGL263W"	-1.022	-0.655	0.435	0.057	-0.653	1.14	0.654
"YKL110C"	-0.158	0.623	0.071	-0.168	-0.267	0.554	0.654
"YDR217C"	0.201	0.487	0.038	-0.441	-0.768	-0.79	0.654
"YMR141C"	-0.205	-0.341	-0.505	-0.164	-0.319	0.512	0.654
"YOR050C"	-0.297	-0.625	0.015	-0.167	-0.019	0.871	0.653
"YDR335W"	0.077	0.271	-0.305	-0.146	-0.033	0.068	0.653
"YOR057W"	0.198	-0.007	0.286	-0.224	0.063	0.626	0.653
"YPL241C"	0.688	0.434	0	0	-0.324	-0.081	0.652
"YJL022W"	-0.112	-0.079	0.135	0.228	-0.423	0.276	0.651
"YDR153C"	-0.094	0.297	0.194	-0.212	-0.043	0.582	0.651
"YKL218C"	-0.266	-0.372	-0.105	-0.089	0.134	0.948	0.65
"YOR371C"	-0.122	-0.203	-0.377	-0.363	0.288	-0.012	0.65
"YIL070C"	-0.035	0.06	-0.214	0.361	0.575	0.76	0.65
"YNL106C"	0.04	0.11	-0.164	0.206	0.121	0.393	0.65
"YPL101W"	-0.026	0.08	0.508	-0.074	-0.193	0.863	0.65
"YGR045C"	-0.073	-0.477	-0.171	0.02	-0.146	0.58	0.649
"YPL089C"	0.19	0.098	0.237	-0.364	-0.58	0.76	0.649
"YIR004W"	-0.149	0.049	0.339	-0.239	0.422	0.147	0.649
